Position,Track Name,Artist,Streams,URL
181,Electric Love,B??RNS,724434,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
182,Without Me,Halsey,722896,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
183,Sunday Best,Surfaces,722072,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
184,Lose Control,MEDUZA,720937,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
185,Lance Individual,Jorge & Mateus,714155,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
186,I CAN'T STOP ME,TWICE,707342,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
187,Happier,Marshmello,706386,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
188,when the party's over,Billie Eilish,705747,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
189,Every Breath You Take,The Police,704236,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
190,"thank u, next",Ariana Grande,701571,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
191,Smells Like Teen Spirit,Nirvana,700797,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
192,Investe Em Mim,Jonas Esticado,700375,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
193,Dancing in My Room,347aidan,699829,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
194,Someone To You,BANNERS,699360,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
195,Tick Tock (feat. 24kGoldn),Clean Bandit,698644,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
196,Basta Voc?¶ Me Ligar - Ao Vivo,Os Bar?Êes Da Pisadinha,698137,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
197,Be Kind (with Halsey),Marshmello,695341,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
198,The Less I Know The Better,Tame Impala,694964,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
199,Physical,Dua Lipa,694650,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
200,Something Just Like This,The Chainsmokers,692474,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
